City	FAA	IATA	ICAO	Airport	Role	Enplanements
Lubbock	LBB	LBB	KLBB	Lubbock Preston Smith International Airport	P-S	484,010
Wilmington	ILM	ILM	KILM	Wilmington International Airport	P-S	468,816
Huntsville	HSV	HSV	KHSV	Huntsville International Airport (Carl T. Jones Field)	P-S	459,759
Akron / Canton	CAK	CAK	KCAK	Akron-Canton Regional Airport	P-N	449,731
Key West	EYW	EYW	KEYW	Key West International Airport	P-N	446,005
Juneau	JNU	JNU	PAJN	Juneau International Airport	P-N	440,277
Billings	BIL	BIL	KBIL	Billings Logan International Airport	P-N	440,263
Redmond	RDM	RDM	KRDM	Roberts Field	P-N	430,562
Missoula	MSO	MSO	KMSO	Missoula Montana Airport (was Missoula International Airport)	P-N	425,563
Charlotte Amalie, St. Thomas	STT	STT	TIST	Cyril E. King Airport	P-N	417,871
Fargo	FAR	FAR	KFAR	Hector International Airport	P-S	408,477
Trenton	TTN	TTN	KTTN	Trenton Mercer Airport	P-N	404,349
Santa Barbara	SBA	SBA	KSBA	Santa Barbara Municipal Airport (Santa Barbara Airport)	P-N	403,745
Pasco	PSC	PSC	KPSC	Tri-Cities Airport	P-N	395,348
Baton Rouge	BTR	BTR	KBTR	Baton Rouge Metropolitan Airport (Ryan Field)	P-N	390,107
Tallahassee	TLH	TLH	KTLH	Tallahassee International Airport	P-N	384,136
Jackson	JAC	JAC	KJAC	Jackson Hole Airport	P-N	381,539
Allentown	ABE	ABE	KABE	Lehigh Valley International Airport (was Allentown–Bethlehem–Easton International Airport)	P-N	376,468
Fort Wayne	FWA	FWA	KFWA	Fort Wayne International Airport	P-N	372,030
Bellingham	BLI	BLI	KBLI	Bellingham International Airport	P-N	368,186
Daytona Beach	DAB	DAB	KDAB	Daytona Beach International Airport	P-N	366,967
South Bend	SBN	SBN	KSBN	South Bend International Airport	P-N	366,617
Flint	FNT	FNT	KFNT	Bishop International Airport	P-N	361,709
Gulfport / Biloxi	GPT	GPT	KGPT	Gulfport–Biloxi International Airport	P-N	359,055
Amarillo	AMA	AMA	KAMA	Rick Husband Amarillo International Airport	P-N	355,705
Moline	MLI	MLI	KMLI	Quad City International Airport	P-N	355,241
Newburgh	SWF	SWF	KSWF	New York Stewart International Airport	P-N	354,869
Charlottesville	CHO	CHO	KCHO	Charlottesville–Albemarle Airport	P-N	352,816
Appleton	ATW	ATW	KATW	Appleton International Airport	P-S	348,026
McAllen	MFE	MFE	KMFE	McAllen Miller International Airport	P-N	347,440
Bangor	BGR	BGR	KBGR	Bangor International Airport	P-N	336,140
Corpus Christi	CRP	CRP	KCRP	Corpus Christi International Airport	P-N	332,499
Roanoke	ROA	ROA	KROA	Roanoke–Blacksburg Regional Airport (Woodrum Field)	P-N	330,063
Peoria	PIA	PIA	KPIA	General Downing-Peoria International Airport	P-N	328,769
Green Bay	GRB	GRB	KGRB	Green Bay–Austin Straubel International Airport	P-N	314,909
Kalispell	GPI	FCA	KGPI	Glacier Park International Airport	P-N	307,242
Rapid City	RAP	RAP	KRAP	Rapid City Regional Airport	P-N	303,471
Harlingen	HRL	HRL	KHRL	Valley International Airport	P-N	302,236
Augusta	AGS	AGS	KAGS	Augusta Regional Airport (Bush Field)	P-N	300,598
Aguadilla	BQN	BQN	TJBQ	Rafael Hernández Airport	P-N	294,921
Shreveport	SHV	SHV	KSHV	Shreveport Regional Airport	P-N	291,136
Grand Canyon	GCN	GCN	KGCN	Grand Canyon National Park Airport	P-N	289,278
Aspen	ASE	ASE	KASE	Aspen/Pitkin County Airport (Sardy Field)	P-N	285,448
Wilkes-Barre / Scranton	AVP	AVP	KAVP	Wilkes-Barre/Scranton International Airport	P-N	258,628
Traverse City	TVC	TVC	KTVC	Cherry Capital Airport (was Cherry County Airpark)	P-N	247,324
Mobile	MOB	MOB	KMOB	Mobile Regional Airport	P-N	236,007
San Luis Obispo	SBP	SBP	KSBP	San Luis Obispo County Regional Airport (McChesney Field)	P-N	235,570
Fayetteville	FAY	FAY	KFAY	Fayetteville Regional Airport (Grannis Field)	P-N	234,998
Melbourne	MLB	MLB	KMLB	Melbourne Orlando International Airport	P-N	234,939
Gainesville	GNV	GNV	KGNV	Gainesville Regional Airport	P-N	233,955
Evansville	EVV	EVV	KEVV	Evansville Regional Airport	P-N	228,850
Lafayette	LFT	LFT	KLFT	Lafayette Regional Airport (Paul Fournet Field)	P-N	223,529
Grand Junction	GJT	GJT	KGJT	Grand Junction Regional Airport (Walker Field)	P-N	221,978
